playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
mezeibr01,,,Бранислав,Мезей,,,,76,235,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",19290,31220,mezeibr01,2000,2007,,,Да,1980,10,8,Словакия,,Нитра,,,,,,
dundaro01,,,Рокки,Дундас,,Рокки,,72,195,Р,12508,1483,dundaro01,1989,1989,,,Р,1967,1,30,Канада,СК,Регина,,,,,,
gauthga01,,,Габе,Гато,,,,69,205,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",22139,71403,gauthga01,2006,2007,,,С,1984,1,20,США,Калифорния,Торранс,,,,,,
averyse01,,,Шон,Авери,,,,70,195,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20102,25942,averyse01,2001,2011,,,С,1980,4,10,Канада,Да,Северный Йорк,,,,,,
purvejo01,,,Иоанн,Пурвес,,Иоанн,,73,201,Р,11331,757,purvejo01,1990,1990,,,Р,1968,2,12,Канада,Да,Торонто,,,,,,
berryke01,,,Кен,Ягода,,Кеннет Эдвард,,69,175,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11990,365,berryke01,1981,1988,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1960,6,21,Канада,БЦ,Бернби,,,,,,
mongrbo01,,,Боб,Монграйн,,Робер Жюаньен,,70,165,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13766,6572,mongrbo01,1979,1985,,,С,1959,8,31,Канада,КВ,Ласарре,,,,,,
tordjjo01,,,Джош,Тордьман,,,,73,157,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",22173,70728,tordjjo01,2008,2008,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1985,1,11,Канада,КВ,Монреаль,,,,,,
pruchpe01,,,Петр,Пручь,,,,72,175,Р,20778,63016,pruchpe01,2005,2010,,,С,1982,9,14,Чехия,,Хрудын,,,,,,
dudleri01,dudleri01c,,Рик,Дудли,,Ричард Кларенс,Дуды,72,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12498,1461,dudleri01,1972,1980,1975,1978,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1949,1,31,Канада,Да,Торонто,,,,,,
mandeke01,,,Кент,Мандервилл,,Кент Стивен,,75,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11016,3363,mandeke01,1991,2002,,,С,1971,4,12,Канада,АБ,Эдмонтон,,,,,,
niemian02,,,Анти,Неми,,,,73,213,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",22646,94168,niemian02,2008,2011,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1983,8,29,Финляндия,,Ванта,,,,,,
jomphje01,,,Жан-Франсуа,Йомпхе,,Жан Франсуа,Дж. Ф.,73,195,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10060,2581,jomphje01,1995,1998,,,С,1972,12,28,Канада,КВ,Хавр Сен-Пьер,,,,,,
connewa01,,,Уэйн,Коннелли,,Уэйн Фрэнсис,,70,170,Р,12310,1075,connewa01,1960,1971,1972,1976,Р,1939,12,16,Канада,КВ,Роуэн-Норанда,,,,,,
fortije01,,,Жан-Франсуа,Фортин,,,,74,205,Р,17797,23715,fortije01,2001,2003,,,Да,1979,3,15,Канада,КВ,Лавал,,,,,,
luksach01,,,Чарли,Люкс,,Чарльз,Чак,73,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13433,3230,luksach01,1979,1979,1978,1978,Да,1954,2,19,Канада,Да,Торонто,,,,,,
rivarbo01,,,Боб,Ривард,,Роберт Джозеф Эрвинг,,68,155,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14134,6729,rivarbo01,1967,1967,,,С,1939,8,1,Канада,КВ,Шербрун,,,,,,
leblalo01,,,Луи,Лебран,,,,72,184,,,,leblalo01,2011,2011,,,С,1991,1,26,,,,,,,,,
jurcimi01,,,Милан,Юрцина,,,,76,233,Р,20417,55061,jurcimi01,2005,2011,,,Да,1983,6,7,Словакия,,Липтовский Микулш,,,,,,
guenina01,,,Натан,Гюэн,,,,74,210,Р,20670,64536,guenina01,2006,2011,,,Да,1982,12,10,США,PA,Сьювикли,,,,,,
duboimi01,,,Мишель,Дюбуа,,Мишель Жан Клод,Плитка,71,180,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,10213,duboimi01,,,1975,1976,Да,1954,11,7,Канада,КВ,Монреаль,,,,,,
morrima01,,,Марк,Моррисон,,Марк,,68,150,Р,13784,3812,morrima01,1981,1983,,,С,1963,3,11,Канада,БЦ,Дельта,,,,,,
bartelu01,,,Лубос,Бартекко,,Лубос,,71,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",16972,29431,bartelu01,1998,2002,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1976,7,14,Словакия,,Кезмарок,,,,,,
mccleke01,,,Кевин,Макклеланд,,Кевин Уильям,Мак,74,205,Р,11060,3519,mccleke01,1981,1993,,,Р,1962,7,4,Канада,Да,Ошава,,,,,,
breitke01,,,Кен,Бреценбах,,Кеннет,,73,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12091,557,breitke01,1975,1978,,,Да,1955,1,9,Канада,Да,Веллэнд,,,,,,
eavespa01,,,Пэтрик,Веранда,,,,71,190,Р,20937,67785,eavespa01,2005,2011,,,Р,1984,5,1,Канада,АБ,Калькутта,,,,,,
pelusmi02,,,Майк,Пелусо,,,Бесформенный,73,208,Р,16390,27845,pelusmi02,2001,2003,,,Р,1974,9,2,США,Н/Д,Бисмарк,,,,,,
crawfru01,,crawfru01h,Ржавый,Крафт,,Самуэл Расселл,,71,165,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",P196203,24531,crawfru01,1917,1918,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1885,11,7,Канада,Да,Кардинал,1971,12,19,,,
bruceda01,,,Дэвид,Брюс,,Дэвид,,71,190,Р,10183,624,bruceda01,1985,1993,,,Р,1964,10,7,Канада,Да,Громкий залив,,,,,,
zharkvl01,,,Владимир,Жарков,,,,73,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,92051,zharkvl01,2009,2011,,,Р,1988,1,10,Россия,,Электросталь,,,,,,
godarer01,,,Эрик,Годар,,,Годси,76,214,Р,19454,31088,godarer01,2002,2010,,,Р,1980,3,7,Канада,БЦ,Вернон,,,,,,
stougbl01,,,Блейн,Стоутон,,Блейн А.,Кэш,71,185,Р,14465,5217,stougbl01,1973,1983,1976,1978,Р,1953,3,13,Канада,МБ,Гилберт-Плаунз,,,,,,
elliost01,,,Стефан,Эллиотт,,,,73,180,,,,elliost01,2011,2011,,,Да,1991,1,30,,,,,,,,,
aubrypi01,,,Пьер,Аубри,,Пьер,,70,170,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11883,131,aubrypi01,1980,1984,,,С,1960,4,15,Канада,КВ,Кап-де-ла-Мадлен,,,,,,
perrema01,,,Матю,Перреа́ль,,,,70,174,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,89510,perrema01,2009,2011,,,С,1988,1,5,Канада,КВ,Драумвилл,,,,,,
letoupi01,,,Пьер-Люк,Летоурно-Леблонд,,,,74,210,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",21474,73188,letoupi01,2008,2011,,,Р,1985,6,4,Канада,КВ,Леви,,,,,,
niekaji01,,,Джим,Никамп,,Джеймс Лоуренс,Какашки,73,185,Р,13848,8775,niekaji01,1970,1971,1972,1976,Да,1946,3,11,США,МИ,Детройт,,,,,,
fotiuni01,,,Ник,Фотию,,Николай Евлампиев,Ники Бой/Пироголова,74,210,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12635,1753,fotiuni01,1976,1988,1974,1975,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1952,5,25,США,Нью-Йорк,Станислау,,,,,,
lojekma01,,,Мартин,Ложек,,,,76,220,Р,20995,71738,lojekma01,2006,2007,,,Да,1985,8,19,Чехия,,Брно,,,,,,
hollape01,,,Питер,Голландия,,,,74,195,,,,hollape01,2011,2011,,,С,1991,1,14,,,,,,,,,
lundmja01,,,Джейми,Лундмарк,,,,72,200,Р,19151,40733,lundmja01,2002,2009,,,С,1981,1,16,Канада,АБ,Эдмонтон,,,,,,
britzgr01,,,Грег,Бритз,,Грегори,,72,190,Р,12104,9226,britzgr01,1983,1986,,,Р,1961,1,3,США,Нью-Йорк,Баффало,,,,,,
rotada01,,,Дарси,Рота,,Дарси Ирвайн,,71,180,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14178,4668,rotada01,1973,1983,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1953,2,16,Канада,БЦ,Ванкувер,,,,,,
wittbr01,,,Брэдан,Витт,,Брэдан,,74,223,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",15020,6203,wittbr01,1995,2009,,,Да,1975,2,20,Канада,СК,Гумбольдт,,,,,,
,clousco01c,,Кори,Клустон,,,,,,,,43689,clousco99c,,,,,,1969,9,19,Канада,АБ,Викинг,,,,,,
hurlepa01,,,Пωλ,Хурли,,Павел Михаил,Стрелковый/Пол Снэп,71,185,Р,13044,8755,hurlepa01,1968,1968,1972,1976,Да,1946,7,12,США,МА,Мелрос,,,,,,
evansdo01,,,Дуг,Эванс,,Дуглас Томас,,69,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10442,1598,evansdo01,1985,1992,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1963,6,2,Канада,Да,Питерборо,,,,,,
andreda01,,,Дэйв,Андреичук,,Дэвид Джон,Чуки/Октопус,76,220,Р,10029,80,andreda01,1982,2005,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1963,9,29,Канада,Да,Хамилтон,,,,,,
owenge01,,,Джордж,Оуэн,,Джордж (мл.),Гарвард Джордж,71,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13907,18920,owenge01,1928,1932,,,Да,1901,2,12,Канада,Да,Хамилтон,1986,3,4,,,
mcgeoji01,,,Джим,Макгекк,,Джеймс,,68,170,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13638,3562,mcgeoji01,1981,1986,,,С,1963,4,13,Канада,СК,Регина,,,,,,
coburbr01,,,Брейдон,Кобурн,,,,77,220,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20893,55413,coburbr01,2005,2011,,,Да,1985,2,27,Канада,АБ,Калькутта,,,,,,
preslwa01,,,Уэйн,Пресли,,Уэйн,,71,195,Р,11319,4379,preslwa01,1984,1995,,,Р,1965,3,23,США,МИ,Дирберн,,,,,,
hartge01,,,Гери,Харту,,Джерри Уильямс,,69,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12870,8007,hartge01,1968,1982,,,Да,1948,1,1,Канада,МБ,Флин Флон,,,,,,
belanal01,,,Ален,Беланжер,,Ален,Бам Бам,73,190,Р,11952,7374,belanal01,1977,1977,,,Р,1956,1,18,Канада,КВ,Сент-Жанвьер,,,,,,
,,wilsoph01h,Фат,Уильямсон,,,,,,,P196227,,wilsoph01,,,,,Да,1895,12,29,Канада,Да,Порт-Артур,1970,,,,,
currida01,,,Дэн,Куррье,,Даниэль Роберт,Кurdог,74,195,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10323,1204,currida01,1990,1993,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1968,3,15,Канада,Да,Бэрлингтон,,,,,,
wilsocl01,,,Клод,Уильямсон,,Клод,,,,,,,,,,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,,,,,,,,,,
reasoma01,,,Марты,Разумование,,Марты,,73,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14943,14456,reasoma01,1998,2011,,,С,1977,2,26,США,Нью-Йорк,Рочестер,,,,,,
baronno01,,,Норман,Барон,,Норман,,72,205,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11921,6139,baronno01,1983,1985,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1957,12,15,Канада,КВ,Верден,,,,,,
kobasch01,,,Чак,Кобасев,,Никола Джеймс,,72,192,Р,20162,56482,kobasch01,2002,2011,,,Р,1982,4,17,Канада,БЦ,Ванкувер,,,,,,
dipenjo01,,,Джо,Дипента,,,,74,199,Р,16720,35562,dipenjo01,2002,2007,,,Да,1979,2,25,Канада,Да,Бэрри,,,,,,
douglle01,,,Леся,Дуглас,,Лесли Гордон,,69,165,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12485,13327,douglle01,1940,1946,,,С,1918,12,5,Канада,Да,Перθ,2002,10,20,Канада,Да,Кингстон
scotttr01,,,Трэвис,Скотт,,,,74,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",18757,23931,scotttr01,2000,2000,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1975,9,14,Канада,Да,Каната,,,,,,
nedomva01,,,Вацлав,Недоманский,,Вацлав,Большой Нед,74,205,Р,13828,3925,nedomva01,1977,1982,1974,1977,Р,1944,3,14,Чехия,,Ходьонин,,,,,,
simonch01,,,Крис,Симон,,Крис,Начальник/Самсон/Сай,76,235,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11502,4962,simonch01,1992,2007,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1972,1,30,Канада,Да,Вава,,,,,,
tumilgo01,,,Гордон,Тумильсон,,Гордон,,68,160,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,11903,tumilgo01,,,1972,1972,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1951,7,17,Канада,МБ,Виннипег,,,,,,
,bergemi03c,,Мишель,Бержон,,Мишель Жозеф Робер,,,,,,71654,bergemi99c,,,,,,1946,6,12,Канада,КВ,Монреаль,,,,,,
nealero01,,,Роби,Нейл,,Роберт Альфред,,72,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,8710,nealero01,,,1973,1974,С,1953,4,17,Канада,МБ,Брандон,,,,,,
norstma01,,,Маттиас,Норстром,,Маттиас Е. Дж.,,74,210,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11207,3998,norstma01,1993,2007,,,Да,1972,1,2,Швеция,,Стокгольм,,,,,,
keatijo01,,,Иоанн,Кейтинг,,Джон Ричард,,67,145,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13163,19392,keatijo01,1931,1932,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1908,2,12,Канада,НБ,Святой Иоанн,1984,11,14,,,
weiseda01,,,Дэйл,Усэй,,,,74,210,,,,weiseda01,2010,2011,,,Р,1988,8,5,Канада,МБ,Виннипег,,,,,,
lecaibi01,,,Билл,Лекаин,,Виллиам Джозеф,,72,172,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13343,10476,lecaibi01,1968,1968,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1940,3,11,Канада,СК,Мосс-Джау,,,,,,
pominja01,,,Джейсон,Поминвилл,,,,72,186,Р,20174,43775,pominja01,2003,2011,,,Р,1982,11,30,Канада,КВ,Репени́нги,,,,,,
vadnaca01,,,Кэрол,Ваднаис,,Каран Марсел,Что?,73,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14594,5525,vadnaca01,1966,1982,,,Да,1945,9,25,Канада,КВ,Монреаль,,,,,,
,ruelcl01c,,Клод,Руэл,,Клод,,,,,,18990,ruelcl99c,,,,,,1938,9,12,Канада,КВ,Шербрун,,,,,,
burneke01,,,Келли,Бернетт,,Джеймс Келвин,,70,160,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12154,11425,burneke01,1952,1952,,,С,1926,6,16,Канада,КВ,Лашен,,,,,,
nessaa01,,,Аарон,Несс,,,,70,170,,,,nessaa01,2011,2011,,,Да,1990,5,18,,,,,,,,,
delguma01,,,Мэтт,ДелГудайце,,Мэттью,,69,170,Р,18246,1318,delguma01,1990,1991,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1967,3,5,США,КТ,Западный Гавен,,,,,,
modryja01,,,Ярослав,Бузиновый,,Ярослав,,74,220,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11132,3757,modryja01,1993,2007,,,Да,1971,2,27,Чехия,,Чехoslovакия,,,,,,
methege01,,,Гери,Метаболит,,Жеральд Пауль,,70,170,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,8725,methege01,,,1974,1974,Да,1951,12,12,Канада,Да,Уиллодейл,,,,,,
kaminke01,,,Кевин,Камински,,Кевин С.,Убийца,70,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10749,2624,kaminke01,1988,1996,,,С,1969,3,13,Канада,СК,Церковный мост,,,,,,
ocallja01,,,Джек,О'Каллахан,,Джек,,73,190,Р,13873,4025,ocallja01,1982,1988,,,Да,1957,7,24,США,МА,Чарлстон,,,,,,
wilsobe01,,,Берт,Уильямсон,,Бертвин Хиллари,Поясающий Берт,72,178,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14697,5748,wilsobe01,1973,1980,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1949,10,17,Канада,Да,Орангевилл,1992,2,28,,,
chadjo01,,,Иоанн,Чад,,Иоанн,,70,167,Р,12241,13199,chadjo01,1939,1945,,,Р,1919,9,16,Канада,АБ,Провост,1970,10,11,,,
coutuse01,,,Шон,Дизайнер одежды,,,,75,197,,,,coutuse01,2011,2011,,,С,1992,12,7,,,,,,,,,
prokhvi01,,,Виталий,Прохоров,,Виталий,,69,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11324,4395,prokhvi01,1992,1994,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1966,12,25,Россия,,Москва,,,,,,
dimitni01,,,Никко,Димитриакос,,,,71,205,Р,19422,46777,dimitni01,2002,2006,,,Р,1979,5,21,США,МА,Сомервилл,,,,,,
campbsc01,,,Скотт,Кэмпбелл,,Скотт Гэри,,75,205,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12200,7537,campbsc01,1979,1981,1977,1978,Да,1957,6,22,Канада,Да,Торонто,,,,,,
mollemi01,,,Майк,Моллер,,Майкл Джон,,72,194,Р,13759,3768,mollemi01,1980,1986,,,Р,1962,6,16,Канада,АБ,Калькутта,,,,,,
roonewa01,,,Уолтер,Руни,,Валдемар Иосиф,,67,140,Р,,,,,,,,С,1888,2,3,Канада,КВ,Город Квебек,,,,,,
