lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
2077,canatwi01,,,1971.0,12.0,11.0,Венесуэла,,Бобуры,,,,,,,Уилли,Кана́т,,Уильям Эмисаэль (Либрада),,170.0,72.0,R,R,4/16/1993,10/3/1993,,canatwi01,canatwi01,canaw001,canatwi01,canatwi01
2083,candimi01,,,1917.0,8.0,3.0,США,Калифорния,Мантека,1998.0,3.0,17.0,США,Калифорния,Мантека,Мило,Кандини,,Марио Кайн,,187.0,72.0,R,R,5/1/1943,8/15/1951,,candimi01,candimi01,candm101,candimi01,candimi01
2084,candito01,,candito01h,1957.0,8.0,31.0,США,Калифорния,Ореховый ручей,,,,,,,Том,Кандийотти,,Томас Цезарь,,205.0,75.0,R,R,8/8/1983,7/24/1999,Святого Михаила,candito01,candito01,candt001,candito01,candito01
2091,canojo01,,,1962.0,3.0,7.0,Д.Р.,,Бока-дель-Соко,,,,,,,Хосе,Кано,,Хосе Сориано,,175.0,75.0,R,R,8/28/1989,9/30/1989,,canojo01,canojo01,canoj001,canojo01,canojo01
2096,cantwbe01,,,1902.0,4.0,13.0,США,ТН,Милан,1962.0,12.0,4.0,США,МО,Салем,Бэн,Кантвелл,,Бенджамин Калдвелл,,168.0,73.0,R,R,8/19/1927,9/23/1937,,cantwbe01,cantwbe01,cantb102,cantwbe01,cantwbe01
2103,caprabu01,,,1947.0,10.0,1.0,США,ИЛ,Чикаго,,,,,,,Буз,Капра,,Ли Уильям,,168.0,70.0,R,R,9/15/1971,9/26/1977,,caprabu01,caprabu01,caprb101,caprabu01,caprabu01
2114,cardico01,,,1942.0,3.0,30.0,США,Нью-Йорк,Бруклин,,,,,,,Конрад,Кардинал,,Конрад Сет,,190.0,73.0,R,R,4/11/1963,5/4/1963,,cardico01,cardico01,cardc101,cardico01,cardico01
2123,careysc01,,,1870.0,12.0,4.0,США,ПА,Питтсбург,1916.0,12.0,17.0,США,ОХ,Э. Ливерпуль,Скопы,Кэри,,Джордж С.,,175.0,71.0,R,R,4/26/1895,7/6/1903,,careysc01,careysc01,cares101,careysc01,careysc01
2138,carlsle01,,,1895.0,2.0,17.0,США,Нью-Йорк,Джеймстаун,1961.0,9.0,15.0,США,Нью-Йорк,Джеймстаун,Леон,Карсон,,Леон Алтон,Швед,195.0,75.0,R,R,5/31/1920,6/15/1920,,carlsle01,carlsle01,carll101,carlsle01,carlsle01
2147,carmich01,,,1888.0,1.0,9.0,США,В,Мунси,1960.0,8.0,22.0,США,Нью-Йорк,Рочестер,Чет,Кармэлл,,Честер Келлер,,200.0,71.0,R,R,9/5/1909,9/23/1909,,carmich01,carmich01,carmc101,carmich01,carmich01
2160,carpifr01,,,1938.0,9.0,14.0,США,Нью-Йорк,Бруклин,,,,,,,Франк,Карпин,,Франк Доминик,,172.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/25/1965,9/3/1966,,carpifr01,carpifr01,carpf101,carpifr01,carpifr01
2167,carrach01,,carrach01h,1928.0,1.0,23.0,Венесуэла,,Каракас,2005.0,5.0,26.0,Венесуэла,,Каракас,Чико,Карраскель,,Альфонсо (Колон),,170.0,72.0,R,R,4/18/1950,9/23/1959,,carrach01,carrach01,carrc105,carrach01,carrach01
2172,carribi02,carribi02m,carribi02h,1883.0,10.0,22.0,США,Я,Леовтон,1969.0,7.0,8.0,США,Я,Леовтон,Билл,Карригэн,,Вильям Фрэнсис,Тёмный и штормовой,175.0,69.0,R,R,7/7/1906,9/30/1916,,carribi02,carribi02,carrb101,carribi02,carribi02
2188,carseki01,,,1870.0,10.0,22.0,США,Нью-Йорк,Нью-Йорк,1960.0,3.0,29.0,США,ФЛ,Майами,Кид,Карси,,Вильфред,,168.0,67.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/8/1891,7/20/1901,,carseki01,carseki01,carsk102,carseki01,carseki01
2194,cartebl01,,,1902.0,9.0,30.0,США,СК,Лангли,1976.0,9.0,10.0,США,СК,Гринвилл,Чёрный,Кеттер,,Отис Леонард,,175.0,70.0,R,R,10/3/1925,9/26/1926,,cartebl01,cartebl01,cartb101,cartebl01,cartebl01
2199,cartela02,,,1974.0,12.0,18.0,США,ФЛ,Брадентон,,,,,,,Ланс,Кеттер,,,,190.0,73.0,R,R,9/15/1999,5/26/2006,Рэнджер Джей Си,cartela02,cartela02,cartl002,cartela02,cartela02
2210,carych01,,,1960.0,3.0,3.0,США,Калифорния,Уиттиер,,,,,,,Чак,Кари,,Чарльз Дуглас,,210.0,76.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/22/1985,10/2/1993,Калифорнийский университет в Беркли,carych01,carych01,caryc001,carych01,carych01
2223,caseyhu01,,,1913.0,10.0,14.0,США,GA,Атланта,1951.0,7.0,3.0,США,GA,Атланта,Хьюдж,Кейси,,Хью Томас,Пожарный,207.0,73.0,R,R,4/29/1935,9/23/1949,,caseyhu01,caseyhu01,caseh101,caseyhu01,caseyhu01
2224,caseyjo01,,,1887.0,8.0,15.0,США,МА,Бостон,1966.0,6.0,2.0,США,МА,Мелроз,Джо,Кейси,,Иоасеф Фелиц,,180.0,69.0,R,R,10/1/1909,8/24/1918,,caseyjo01,caseyjo01,casej101,caseyjo01,caseyjo01
2229,cashica01,,,1891.0,6.0,6.0,США,НГ,Мекленбургский округ,1935.0,11.0,17.0,США,ВИ,Озеро Миллисент,Кרל,C,,Джей Карл,,200.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,8/4/1911,5/30/1914,,cashica01,cashica01,cashc101,cashica01,cashica01
2233,caskied01,,,1851.0,12.0,30.0,США,МА,Данверс,1924.0,10.0,9.0,США,МА,Данверс,Эд,Каскин,,Эдвард Джеймс,,165.0,69.0,R,R,5/1/1879,9/24/1886,,caskied01,caskied01,caske101,caskied01,caskied01
2234,cassaha01,,,1880.0,7.0,20.0,США,ИЛ,Беллфлёр,1969.0,4.0,19.0,США,Калифорния,Фресно,Гарри,Кассади,Рожденный Гарри Делберт Кассадай,Гарри Делберт,,145.0,68.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/8/1904,5/28/1905,,cassaha01,cassaha01,cassh101,cassaha01,cassaha01
2250,castifr01,,,1969.0,4.0,1.0,США,ТХ,Эл-Пасо,,,,,,,Франк,Замок,,Франк Энтони,,180.0,73.0,R,R,6/27/1991,5/26/2005,,castifr01,castifr01,castf001,castifr01,castifr01
2267,castrju01,,,1972.0,6.0,20.0,Мексика,25,Лос-Мохис,,,,,,,Хуан,Кастро,,Хуан Габриэль,,190.0,71.0,R,R,9/2/1995,,,castrju01,castrju01,castj004,castrju01,castrju01
2276,catoke01,,,1958.0,5.0,6.0,США,Нью-Йорк,Йонкерс,,,,,,,Киф,Като,,Джон Кифф,,185.0,73.0,R,R,6/13/1983,7/26/1984,Ферфлэйд,catoke01,catoke01,catok001,catoke01,catoke01
2283,causewa01,,,1936.0,12.0,26.0,США,Лос-Анджелес,Рустон,,,,,,,Уэйн,Причина,,Джеймс Уэйн,,175.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,6/5/1955,9/20/1968,,causewa01,causewa01,causw101,causewa01,causewa01
2287,cavetpu01,,,1889.0,12.0,26.0,США,ТХ,Макгрегор,1966.0,8.0,4.0,США,Калифорния,Сан-Луис-Обиспо,Пуг,Пещера,,Тиллар Х.,,176.0,75.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/25/1911,7/10/1915,,cavetpu01,cavetpu01,cavep101,cavetpu01,cavetpu01
2296,centepe01,,,1912.0,4.0,22.0,США,КЕ,Гизель Грин,2004.0,8.0,8.0,США,КЕ,Камптон,Питер,Центр,,Марвин Эйрл,,190.0,76.0,R,R,9/11/1942,9/8/1946,,centepe01,centepe01,centp101,centepe01,centepe01
2299,ceronri01,,,1954.0,5.0,19.0,США,НГ,Ньюарк,,,,,,,Рик,Цероне,,Ричард Алдо,,192.0,71.0,R,R,8/17/1975,7/10/1992,Сетон-Холл,ceronri01,ceronri01,ceror001,ceronri01,ceronri01
2308,chagnle01,,,1902.0,9.0,28.0,США,НХ,Питтсфилд,1953.0,7.0,30.0,США,МА,Аме́сбери,Леон,Чатно,,,,182.0,72.0,R,R,10/5/1929,8/8/1935,,chagnle01,chagnle01,chagl101,chagnle01,chagnle01
2318,chambbi01,,,1888.0,9.0,13.0,США,Западная Вирджиния,Кэмрон,1962.0,3.0,27.0,США,В,Форт-Уэйн,Билл,Чамберс,,,,185.0,69.0,R,R,7/11/1910,7/11/1910,,chambbi01,chambbi01,chamb102,chambbi01,chambbi01
2320,chambjo02,,,1911.0,9.0,10.0,США,ТН,Копперхилл,1977.0,5.0,11.0,США,ФЛ,Палатака,Джонни,Чамберс,,Джонни Монро,,185.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,5/4/1937,5/14/1937,,chambjo02,chambjo02,chamj101,chambjo02,chambjo02
2321,chambro01,,,1875.0,8.0,31.0,США,НГ,Вэвервилл,1902.0,8.0,30.0,США,НГ,Вэвервилл,Рим,Чамберс,,Ричард Джереро,,173.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/7/1900,5/7/1900,,chambro01,chambro01,chamr101,chambro01,chambro01
2328,chanded01,,,1922.0,2.0,17.0,США,АЛ,Пинсон,2003.0,7.0,6.0,США,НВ,Las-Вегас,Эд,Чандлер,,Эдвард Оливер,,190.0,74.0,R,R,4/18/1947,6/14/1947,,chanded01,chanded01,chane102,chanded01,chanded01
2341,chapmfr01,,,1872.0,11.0,24.0,США,ПА,Маленький Коули,1957.0,12.0,14.0,США,ПА,Union-Сити,Фред,Чапман,,Фредерик Джозеф,,165.0,68.0,R,R,7/22/1887,7/22/1887,,chapmfr01,chapmfr01,chapf101,chapmfr01,chapmfr01
2342,chapmfr02,,,1916.0,7.0,17.0,США,НГ,Свобода,1997.0,3.0,27.0,США,НГ,Канаполис,Фред,Чапман,,Уильям Фред,Чаппи,185.0,73.0,R,R,9/15/1939,9/23/1941,,chapmfr02,chapmfr02,chapf102,chapmfr02,chapmfr02
2344,chapmha01,,,1887.0,10.0,26.0,США,К,Отставление,1918.0,10.0,21.0,США,МО,Невада,Гарри,Чапман,,Хари,,160.0,71.0,R,R,10/6/1912,7/19/1916,,chapmha01,chapmha01,chaph102,chapmha01,chapmha01
2349,chapmsa01,,chapmsa01h,1916.0,4.0,11.0,США,Калифорния,Тибурон,2006.0,12.0,22.0,США,Калифорния,Кентфилд,Сам,Чапман,,Самуэл Блейк,,180.0,72.0,R,R,5/16/1938,9/22/1951,,chapmsa01,chapmsa01,chaps101,chapmsa01,chapmsa01
2350,chappha01,,,1957.0,10.0,26.0,США,МД,Маунтин Рейнер,,,,,,,Гарри,Чаппы,,Гарри Перри,,150.0,67.0,В.,R,9/7/1978,6/13/1980,Майами-Дейд КК,chappha01,chappha01,chaph101,chappha01,chappha01
2351,chappla01,,,1890.0,2.0,19.0,США,ИЛ,МакКлуски,1918.0,11.0,8.0,США,Калифорния,Сан-Франциско,Лари,Чаппелл,,Ла Верн 애шфорд,,186.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,7/18/1913,4/25/1917,,chappla01,chappla01,chapl101,chappla01,chappla01
2365,chavaos01,,,1937.0,8.0,5.0,Панама,,Колон,,,,,,,Оси,Чаваррия,,Освальд (Киньо),,155.0,71.0,R,R,4/14/1966,8/2/1967,,chavaos01,chavaos01,chavo101,chavaos01,chavaos01
2369,chavene01,,,1947.0,7.0,6.0,Венесуэла,,Чако,1969.0,3.0,16.0,Венесуэла,,Маркаба,Нестор,Чавес,,Нестор Исаías (Силва),,170.0,72.0,R,R,9/9/1967,9/30/1967,,chavene01,chavene01,chavn101,chavene01,chavene01
2383,chetkmi01,,,1917.0,7.0,21.0,США,ОХ,Фейрпойнт,1971.0,8.0,24.0,США,Калифорния,Зелёная долина,Мич,Четкович,,Митчелл,,208.0,75.0,R,R,4/19/1945,5/6/1945,,chetkmi01,chetkmi01,chetm101,chetkmi01,chetkmi01
2384,cheveto01,,,1954.0,6.0,20.0,Никарагуа,,Телика,,,,,,,Тони,Чевез,Сильвио Антонио Агилера (Чевес),Сильвио Антонио,,177.0,71.0,R,R,5/31/1977,6/8/1977,,cheveto01,cheveto01,chevt101,cheveto01,cheveto01
2392,childpe01,,,1871.0,11.0,15.0,США,ПА,Филиадельфиа,1922.0,2.0,15.0,США,ПА,Филиадельфиа,Питер,Детей,,Питер,,,,,R,4/24/1901,10/3/1902,,childpe01,childpe01,chilp102,childpe01,childpe01
2399,chismto01,,,1955.0,5.0,9.0,США,ПА,Честер,,,,,,,Том,Чизм,,Томас Рэймонд,,195.0,73.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/13/1979,9/26/1979,Брандвин-Джей-Си,chismto01,chismto01,chist101,chismto01,chismto01
2400,chitiha01,,,1932.0,11.0,16.0,США,ИЛ,Кинкайд,2002.0,1.0,31.0,,,,Гарри,Чити,,Гарри,,221.0,74.0,R,R,9/27/1950,6/10/1962,,chitiha01,chitiha01,chith101,chitiha01,chitiha01
2402,chittne01,,,1933.0,3.0,25.0,США,Ва,Гаррисонбург,,,,,,,Нельсон,Читум,,Нельсон Бойд,,180.0,73.0,R,R,8/17/1958,5/4/1960,,chittne01,chittne01,chitn101,chittne01,chittne01
2403,chlupbo01,,,1945.0,9.0,16.0,США,Нью-Йорк,Нью-Йорк,,,,,,,Боб,Чу-чу,,Роберт Джозеф,,215.0,79.0,R,R,7/16/1970,6/4/1971,,chlupbo01,chlupbo01,chlub101,chlupbo01,chlupbo01
2405,choatdo01,,,1938.0,7.0,2.0,США,МО,Потоси,,,,,,,Дон,Чоат,,Дональд Леон,,185.0,72.0,R,R,9/12/1960,9/28/1960,,choatdo01,choatdo01,choad101,choatdo01,choatdo01
2424,chrisma01,,,1913.0,10.0,21.0,США,МО,Маплвуд,1976.0,10.0,9.0,США,МО,Сент-Луис,Марк,Χριστουγενν,,Маркетт Джозеф,,175.0,71.0,R,R,4/20/1938,9/23/1949,,chrisma01,chrisma01,chrim102,chrisma01,chrisma01
2427,chrisjo01,,,1935.0,12.0,13.0,В.И.,,Фредерикстед,,,,,,,Джо,Кристофер,,Джозеф О'Нил,,175.0,70.0,R,R,5/26/1959,6/9/1966,,chrisjo01,chrisjo01,chrij101,chrisjo01,chrisjo01
2432,churchi01,,,1863.0,11.0,23.0,США,Нью-Йорк,Центральный район,1926.0,2.0,23.0,США,ФЛ,Джексонвилл,Здравствуйте!,Церковь,,Ирэм Линкольн,,,,,,8/23/1890,8/25/1890,,churchi01,churchi01,churh101,churchi01,churchi01
2433,churcle01,,,1942.0,3.0,21.0,США,ИЛ,Чикаго,1988.0,4.0,22.0,США,ТХ,Ричардсон,Лен,Церковь,,Леонард,,190.0,72.0,В.,R,8/27/1966,9/4/1966,,churcle01,churcle01,churl101,churcle01,churcle01
2435,churrjo01,,,1900.0,11.0,26.0,США,ПА,Джонстоуна,1970.0,2.0,8.0,США,ОХ,Занесвилл,Джон,Чури,,Джон,,172.0,69.0,R,R,5/24/1924,6/21/1927,,churrjo01,churrjo01,churj101,churrjo01,churrjo01
2438,cianfar01,,,1966.0,10.0,6.0,США,Нью-Йорк,Рим,,,,,,,Архи,Кианфрокко,,Ангело Доминик,,200.0,77.0,R,R,4/8/1992,9/26/1998,Пурдью,cianfar01,cianfar01,ciana001,cianfar01,cianfar01
2439,ciardma01,,,1961.0,8.0,19.0,США,НГ,Новый Бразиль,,,,,,,Марк,Царди,,Марк Томас,,180.0,72.0,R,R,4/9/1987,4/28/1987,Мэриленд,ciardma01,ciardma01,ciarm001,ciardma01,ciardma01
2450,cintral01,,,1978.0,12.0,17.0,П.Р.,,Хумакао,,,,,,,Алексей,Цинтрон,,,,210.0,74.0,В.,R,7/24/2001,,,cintral01,cintral01,cinta001,cintral01,cintral01
2480,clarkda04,,,1894.0,1.0,18.0,США,Мएस,Мериан,1937.0,5.0,23.0,США,Мएस,Мериан,Дэнни,Кларк,,Дэниел Куррен,,167.0,69.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/12/1922,9/26/1927,,clarkda04,clarkda04,clard101,clarkda04,clarkda04
2484,clarkge01,,,1891.0,5.0,19.0,США,Я,Смитленд,1940.0,11.0,14.0,США,Я,Сою-Сити,Джордж,Кларк,,Джордж Мирон,,190.0,72.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/16/1913,7/7/1913,,clarkge01,clarkge01,clarg101,clarkge01,clarkge01
2485,clarkgi01,,,1879.0,3.0,7.0,США,ОХ,Уотерфорд,1943.0,5.0,10.0,США,Лос-Анджелес,Озеро Чарльз,Приправа,Кларк,,Харви Дэниел,,165.0,71.0,R,R,8/11/1902,8/11/1902,,clarkgi01,clarkgi01,clarg103,clarkgi01,clarkgi01
2492,clarkji03,,,1947.0,4.0,30.0,США,К,Канзас-Сити,,,,,,,Джим,Кларк,,Джеймс Эдвард,,190.0,73.0,R,R,7/16/1971,8/3/1971,,clarkji03,clarkji03,clarj104,clarkji03,clarkji03
2510,clarkar01,,,1865.0,5.0,6.0,США,Ри,Провиденс,1949.0,11.0,14.0,США,МА,Бруклайн,Арти,Кларк,,Артур Франклин,,155.0,68.0,R,R,4/19/1890,9/30/1891,,clarkar01,clarkar01,clara101,clarkar01,clarkar01
2514,clarkgr01,,,1912.0,9.0,26.0,США,АЛ,Фултон,1993.0,11.0,23.0,США,НГ,Канаполис,Серый,Кларк,,Ричард Грей,Шумный,183.0,69.0,R,R,4/19/1944,10/1/1944,,clarkgr01,clarkgr01,clarg102,clarkgr01,clarkgr01
2533,claryma01,,,1962.0,4.0,3.0,США,МИ,Детройт,,,,,,,Марты,Клари,,Мартин Кит,,190.0,76.0,R,R,9/5/1987,9/29/1990,Северо-Западный,claryma01,claryma01,clarm001,claryma01,claryma01
2543,clearjo01,,,1918.0,12.0,3.0,Ирландия,,Кורק,2004.0,6.0,3.0,США,Нью-Йорк,Йонкерс,Джо,Четко,,Иоасиф Кристофер,Пожар,150.0,69.0,R,R,8/4/1945,8/4/1945,,clearjo01,clearjo01,cleaj101,clearjo01,clearjo01
2546,clemecl01,,,1886.0,11.0,21.0,США,ИЛ,Чикаго,1967.0,11.0,2.0,США,ФЛ,Санкт-Петербург,Клемм,Клеменс,родился с фамилией Улатовский,Клемент Ламберт,Кто,176.0,71.0,R,R,5/15/1914,9/18/1916,,clemecl01,clemecl01,clemc101,clemecl01,clemecl01
2563,clevete01,,,1932.0,7.0,9.0,США,Калифорния,Висалия,,,,,,,Текс,Клевенджер,,Труман Юджин,,180.0,73.0,R,R,4/18/1954,9/30/1962,,clevete01,clevete01,clevt101,clevete01,clevete01
2574,clonito01,,,1940.0,8.0,13.0,США,НГ,Черривилл,,,,,,,Тони,Клонер,,Тони Ли,,210.0,72.0,R,R,6/15/1961,7/22/1972,,clonito01,clonito01,clont101,clonito01,clonito01
2579,clowebi01,,,1898.0,8.0,14.0,США,ТХ,Сан-Маркос,1978.0,1.0,13.0,США,ТХ,Свинни,Билл,Клэры,,Вильям Перри,,175.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",7/20/1926,7/21/1926,,clowebi01,clowebi01,clowb101,clowebi01,clowebi01
2585,clymeot01,,,1876.0,1.0,27.0,США,ПА,Пин-Гроув,1926.0,2.0,27.0,США,MN — МН,Сент-Паул,Отис,Клемер,,Отис Эдгар,,180.0,71.0,В.,R,4/14/1905,8/8/1913,,clymeot01,clymeot01,clymo101,clymeot01,clymeot01
2589,coateji01,,,1932.0,8.0,4.0,США,Ва,Фарнхэм,,,,,,,Джим,Кочс,,Джеймс Алтон,Мама,192.0,76.0,R,R,9/21/1956,9/30/1967,,coateji01,coateji01,coatj101,coateji01,coateji01
2599,cochrmi01,cochrmi01m,cochrmi01h,1903.0,4.0,6.0,США,МА,Бридджвотер,1962.0,6.0,28.0,США,ИЛ,Озеро-Лес,Мики,Крокоун,,Гордон Стэнли,ブラック・マイク,180.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/14/1925,5/25/1937,,cochrmi01,cochrmi01,cochm101,cochrmi01,cochrmi01
2602,cocopa01,,,1977.0,9.0,24.0,Д.Р.,,Санто-Доминго,,,,,,,Паскаль,Коко,,,,185.0,73.0,R,R,7/17/2000,4/14/2002,,cocopa01,cocopa01,cocop001,cocopa01,cocopa01
2617,cohenan01,cohenan01m,,1904.0,10.0,25.0,США,МД,Балтимор,1988.0,10.0,29.0,США,ТХ,Эл-Пасо,Анди,Кохен,,Эндрю Говард,,155.0,68.0,R,R,6/6/1926,10/5/1929,,cohenan01,cohenan01,cohea101,cohenan01,cohenan01
2619,cohensy01,,,1906.0,5.0,7.0,США,МД,Балтимор,1988.0,4.0,9.0,США,ТХ,Эл-Пасо,Сид,Кохен,,Сидней Гарри,,180.0,71.0,В.,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/18/1934,9/9/1937,,cohensy01,cohensy01,cohes101,cohensy01,cohensy01
2630,coleal01,,,1965.0,8.0,17.0,США,НГ,Файетвилл,,,,,,,Алексей,Коль,,Александр (младший),,170.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",7/27/1990,5/22/1996,Мэнати Джи Си,coleal01,coleal01,colea001,coleal01,coleal01
2643,colemed01,,,1901.0,12.0,1.0,США,О́,Канби,1964.0,8.0,5.0,США,О́,Орегон-Сити,Эд,Колман,,Парке Эдвард,,200.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/15/1932,9/26/1936,,colemed01,colemed01,colee102,colemed01,colemed01
2645,colemje01,colemje01m,,1924.0,9.0,14.0,США,Калифорния,Сан-Хосе,,,,,,,Жерар,Колман,,Жеральд Фрэнсис,,165.0,72.0,R,R,4/20/1949,9/29/1957,,colemje01,colemje01,colej106,colemje01,colemje01
2655,colemvi01,,colemvi01h,1961.0,9.0,22.0,США,ФЛ,Джексонвилл,,,,,,,Винс,Колман,,Винсент Морис,Винсент Ван Гог,170.0,72.0,В.,R,4/18/1985,4/14/1997,Флорида А&М,colemvi01,colemvi01,colev001,colemvi01,colemvi01
2660,colgaed01,,,,,,,,,1895.0,8.0,8.0,США,МТ,Великая стена,Эд,Колган,,Уильям Х.,,180.0,,,,5/3/1884,10/15/1884,,colgaed01,colgaed01,colge101,colgaed01,colgaed01
2666,colli01,,,,,,,,,,,,,,,,Коллинз,,,,,,,,9/12/1892,9/12/1892,,colli01,colli01,collu101,colli01,colli01
2670,collida01,,,1854.0,7.0,12.0,США,МО,Сент-Луис,1883.0,9.0,21.0,США,Лос-Анджелес,Новый Орлеан,Дэн,Коллинз,,Даниэль Томас,,,,,,6/8/1874,,,collida01,collida01,colld102,collida01,collida01
2681,collipa01,,,1896.0,9.0,13.0,США,МО,Сладкие дары.,1960.0,5.0,20.0,США,К,Канзас-Сити,Пэт,Коллинз,,Тарон Лесли,,178.0,71.0,R,R,9/5/1919,5/23/1929,,collipa01,collipa01,collp101,collipa01,collipa01
2682,colliph01,,,1901.0,8.0,27.0,США,ИЛ,Чикаго,1948.0,8.0,14.0,США,ИЛ,Чикаго,Фил,Коллинз,,Филип Иган,Фиктивный Фил,175.0,71.0,R,R,10/7/1923,9/23/1935,,colliph01,colliph01,collp102,colliph01,colliph01
2687,collish01,collish01m,collish01h,1885.0,12.0,4.0,США,МА,Чарльстон,1955.0,9.0,10.0,США,МА,Ньютон,Шано,Коллинз,,Джон Фрэнсис,,185.0,72.0,R,R,4/21/1910,5/15/1925,,collish01,collish01,colls101,collish01,collish01
2702,combsea01,,combsea01h,1899.0,5.0,14.0,США,КЕ,Пебворث,1976.0,7.0,21.0,США,КЕ,Ричмонд,Эрл,Чистильники,,Элтон Брайан,Kentucky полковник,185.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/16/1924,9/29/1935,,combsea01,combsea01,combe101,combsea01,combsea01
2710,comorad01,,,1905.0,12.0,9.0,США,ПА,Своюерсвилл,1951.0,3.0,2.0,США,ПА,Своюерсвилл,Адам,Коморские острова,,Адам Энтони,,167.0,70.0,R,R,9/13/1926,9/18/1935,,comorad01,comorad01,comoa101,comorad01,comorad01
2720,condera01,,,1934.0,12.0,29.0,П.Р.,,Джуана Диас,,,,,,,Рамон,Конде,,Рамон Луис (Роман),Вито,172.0,68.0,R,R,7/17/1962,8/14/1962,,condera01,condera01,condr101,condera01,condera01
2725,congedi01,,,1921.0,4.0,3.0,США,Калифорния,Лос-Анджелес,1970.0,2.0,16.0,США,Калифорния,Лос-Анджелес,Дик,Конгер,,Ричард,,185.0,72.0,R,R,4/22/1940,9/14/1943,,congedi01,congedi01,congd101,congedi01,congedi01
2726,conigbi01,,,1947.0,8.0,15.0,США,МА,Уважаемый,,,,,,,Билли,Кониглиаро,,Уильям Майкл,,180.0,72.0,R,R,4/11/1969,9/30/1973,,conigbi01,conigbi01,conib101,conigbi01,conigbi01
2733,conlege01,,,1930.0,11.0,10.0,США,"Добро пожаловать в чат-бота для перевода! Я готов помочь вам перевести текст с английского на русский язык. Просто введите текст, который вы хотите перевести, и я предоставлю вам точный перевод.",Мускоги,,,,,,,Гене,Конли,,Дональд Евгений,,225.0,80.0,R,R,4/17/1952,9/21/1963,,conlege01,conlege01,conlg101,conlege01,conlege01
2734,conlesn01,,,1894.0,4.0,25.0,США,ПА,Крессона,1978.0,1.0,7.0,США,ТХ,Десото,Снип,Конли,,Джеймс Патрик,,179.0,71.0,R,R,5/20/1914,5/10/1918,,conlesn01,conlesn01,conls101,conlesn01,conlesn01
2738,connasa01,,,1898.0,8.0,31.0,США,ТХ,Макгрегор,1978.0,1.0,27.0,США,ТХ,Хьюстон,Serже,Конноли,,Джордж Уолтер,,170.0,71.0,R,R,9/10/1921,7/18/1934,,connasa01,connasa01,conns101,connasa01,connasa01
2739,connabr01,,,1902.0,9.0,19.0,США,ТН,Сэвиджвилл,1971.0,1.0,27.0,США,В,Терр-Хaut,Брюс,"Добро пожаловать в чат-бот по переводу! Я готов помочь вам с переводом текста с английского на русский язык и наоборот. Пожалуйста, предоставьте текст для перевода, и я сделаю это для вас.",,Бродус Мильберн,,170.0,71.0,R,R,9/15/1931,9/25/1932,,connabr01,connabr01,connb104,connabr01,connabr01
2740,connafr01,,,1869.0,1.0,1.0,США,МА,Клинтон,1942.0,12.0,1.0,США,МА,Бостон,Франк,Коннэттэн,,Франк Генри,,165.0,69.0,R,R,5/28/1894,10/5/1906,,connafr01,connafr01,connf101,connafr01,connafr01
